127.0.0.1 - - [16/May/2019:13:34:28 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [16/May/2019:13:35:51 +0800] "GET /used_car_sys HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:35:52 +0800] "GET /used_car_sys/ HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [16/May/2019:13:35:52 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [16/May/2019:13:35:58 +0800] "GET /used_car_sys HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:35:58 +0800] "GET /used_car_sys/ HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [16/May/2019:13:35:59 +0800] "GET /used_car_sys/ HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/web_user/index.jsp HTTP/1.1" 200 8898
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/images/logo1.png HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/web_user/images/banner4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/web_user/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/web_user/js/superfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/web_user/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/web_user/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/web_user/images/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/web_user/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/web_user/images/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/images/pic5.jpg HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/web_user/images/cart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/images/pic6.jpg HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/web_user/images/car1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/images/pic4.jpg HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/web_user/images/car2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/web_user/images/car3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/web_user/images/car4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/web_user/images/pic21.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/web_user/images/pic25.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/web_user/images/pic24.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/web_user/images/pic27.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/web_user/images/pic22.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/web_user/images/pic26.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/web_user/images/pic23.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:04 +0800] "GET /used_car_sys/web_user/images/pic28.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:05 +0800] "GET /used_car_sys/web_user/images/menu_line.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:05 +0800] "GET /used_car_sys/web_user/images/bg-body.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:05 +0800] "GET /used_car_sys/web_user/images/tail.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:05 +0800] "GET /used_car_sys/web_user/images/header-bottom-bg.png HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:05 +0800] "GET /used_car_sys/web_user/images/arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:05 +0800] "GET /used_car_sys/web_user/images/tail_footer.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:05 +0800] "GET /used_car_sys/web_user/fonts/Amble-Light-webfont.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:17 +0800] "GET /used_car_sys/buycar.jsp HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:20 +0800] "GET /used_car_sys/index.jsp HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:30 +0800] "GET /used_car_sys/web_user/index.jsp HTTP/1.1" 200 8898
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:30 +0800] "GET /used_car_sys/images/logo1.png HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:30 +0800] "GET /used_car_sys/images/pic5.jpg HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:30 +0800] "GET /used_car_sys/images/pic6.jpg HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:30 +0800] "GET /used_car_sys/images/pic4.jpg HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [16/May/2019:13:36:30 +0800] "GET /used_car_sys/web_user/images/header-bottom-bg.png HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [16/May/2019:13:38:29 +0800] "GET /used_car_sys/web_user/index.jsp HTTP/1.1" 200 8934
0:0:0:0:0:0:0:1 - - [16/May/2019:13:38:29 +0800] "GET /used_car_sys/web_user/images/logo1.png HTTP/1.1" 200 6614
0:0:0:0:0:0:0:1 - - [16/May/2019:13:38:29 +0800] "GET /used_car_sys/web_user/images/pic5.jpg HTTP/1.1" 200 9508
0:0:0:0:0:0:0:1 - - [16/May/2019:13:38:29 +0800] "GET /used_car_sys/web_user/images/pic4.jpg HTTP/1.1" 200 8603
